Source,Target,Weight,Date
C6,M30,3,2004-09-15
C6,M157,3,2004-09-15
C6,M173,4,2004-09-15
C6,M175,5,2004-10-10
C6,M191,2,2004-11-24
C6,M197,3,2004-09-22
C6,M241,3,2005-11-25
C6,M295,4,2004-09-27
C6,M299,3,2005-04-20
C6,M329,4,2004-09-15
C6,M361,3,2005-05-15
C6,M445,3,2004-10-16
C6,M457,5,2004-09-15
C6,M468,3,2005-11-25
C6,M494,3,2004-11-17
C6,M501,3,2005-12-04
C6,M528,4,2005-10-26
C6,M564,4,2004-09-27
C6,M580,3,2005-01-20
C6,M658,3,2005-12-04
C6,M705,3,2004-03-09
C6,M706,3,2005-10-26
C6,M723,3,2004-03-28
C6,M788,3,2004-09-27
C6,M825,3,2005-12-04
C6,M872,3,2004-10-14
C6,M886,5,2005-11-25
C6,M985,4,2004-09-27
C6,M1096,3,2004-12-13
C6,M1144,2,2005-10-26
C6,M1145,3,2005-01-12
C6,M1180,3,2004-12-13
C6,M1195,4,2004-09-27
C6,M1220,4,2004-12-07
C6,M1238,2,2005-10-26
C6,M1267,3,2004-03-09
C6,M1307,1,2005-11-25
C6,M1314,3,2004-09-15
C6,M1399,4,2005-01-20
C6,M1406,4,2004-10-13
C6,M1428,4,2004-09-15
C6,M1467,5,2004-09-22
C6,M1476,1,2005-08-29
C6,M1494,2,2004-09-22
C6,M1542,3,2005-12-04
C6,M1561,3,2004-03-09
C6,M1571,4,2005-12-04
C6,M1615,4,2004-09-15
C6,M1642,4,2005-08-29
C6,M1659,3,2005-02-18
C6,M1693,3,2004-09-15
C6,M1709,4,2005-12-04
C6,M1756,3,2005-01-20
C6,M1765,3,2005-12-04
C6,M1798,3,2005-03-23
C6,M1799,3,2004-09-27
C6,M1803,3,2004-09-27
C6,M1832,3,2005-03-18
C6,M1843,2,2005-11-25
C6,M1865,3,2005-04-20
C6,M1901,4,2005-12-04
C6,M1905,4,2004-09-27
C6,M1918,4,2005-12-04
C6,M1939,3,2005-12-04
C6,M1962,4,2004-12-07
C6,M1971,3,2004-09-25
C6,M2000,3,2004-09-27
C6,M2001,4,2004-09-22
C6,M2095,4,2004-03-09
C6,M2112,3,2004-09-22
C6,M2140,4,2004-09-27
C6,M2152,3,2005-01-12
C6,M2200,3,2005-04-20
C6,M2252,4,2005-04-20
