ID,Label,Type,MovieGenre
C6,C6,Customer,
C7,C7,Customer,
C8,C8,Customer,
C10,C10,Customer,
C25,C25,Customer,
C33,C33,Customer,
C42,C42,Customer,
C59,C59,Customer,
C79,C79,Customer,
C83,C83,Customer,
C87,C87,Customer,
C94,C94,Customer,
C97,C97,Customer,
C116,C116,Customer,
C126,C126,Customer,
C130,C130,Customer,
C131,C131,Customer,
C133,C133,Customer,
C134,C134,Customer,
C142,C142,Customer,
C149,C149,Customer,
C158,C158,Customer,
C164,C164,Customer,
C168,C168,Customer,
C169,C169,Customer,
C177,C177,Customer,
C178,C178,Customer,
C183,C183,Customer,
C188,C188,Customer,
C189,C189,Customer,
C192,C192,Customer,
C195,C195,Customer,
C199,C199,Customer,
C201,C201,Customer,
C215,C215,Customer,
C231,C231,Customer,
C242,C242,Customer,
C247,C247,Customer,
C248,C248,Customer,
C250,C250,Customer,
C261,C261,Customer,
C265,C265,Customer,
C266,C266,Customer,
C267,C267,Customer,
C268,C268,Customer,
C283,C283,Customer,
C291,C291,Customer,
C296,C296,Customer,
C298,C298,Customer,
C299,C299,Customer,
C301,C301,Customer,
C302,C302,Customer,
C304,C304,Customer,
C305,C305,Customer,
C307,C307,Customer,
C308,C308,Customer,
C310,C310,Customer,
C312,C312,Customer,
C314,C314,Customer,
C330,C330,Customer,
C331,C331,Customer,
C333,C333,Customer,
C352,C352,Customer,
C358,C358,Customer,
C363,C363,Customer,
C368,C368,Customer,
C369,C369,Customer,
C379,C379,Customer,
C383,C383,Customer,
C384,C384,Customer,
C385,C385,Customer,
C392,C392,Customer,
C413,C413,Customer,
C416,C416,Customer,
C424,C424,Customer,
C437,C437,Customer,
C439,C439,Customer,
C440,C440,Customer,
C442,C442,Customer,
C453,C453,Customer,
C462,C462,Customer,
C466,C466,Customer,
C470,C470,Customer,
C471,C471,Customer,
C477,C477,Customer,
C478,C478,Customer,
C479,C479,Customer,
C481,C481,Customer,
C485,C485,Customer,
C490,C490,Customer,
C491,C491,Customer,
C492,C492,Customer,
C495,C495,Customer,
C508,C508,Customer,
C515,C515,Customer,
C517,C517,Customer,
C527,C527,Customer,
C529,C529,Customer,
C536,C536,Customer,
C544,C544,Customer,
C546,C546,Customer,
C547,C547,Customer,
C550,C550,Customer,
C561,C561,Customer,
C576,C576,Customer,
C578,C578,Customer,
C585,C585,Customer,
C592,C592,Customer,
C596,C596,Customer,
C602,C602,Customer,
C609,C609,Customer,
C614,C614,Customer,
C616,C616,Customer,
C623,C623,Customer,
C624,C624,Customer,
C633,C633,Customer,
C657,C657,Customer,
C660,C660,Customer,
C663,C663,Customer,
C664,C664,Customer,
C665,C665,Customer,
C682,C682,Customer,
C684,C684,Customer,
C685,C685,Customer,
C688,C688,Customer,
C692,C692,Customer,
C695,C695,Customer,
C711,C711,Customer,
C719,C719,Customer,
C734,C734,Customer,
C735,C735,Customer,
C739,C739,Customer,
C742,C742,Customer,
C744,C744,Customer,
C748,C748,Customer,
C750,C750,Customer,
C756,C756,Customer,
C766,C766,Customer,
C767,C767,Customer,
C769,C769,Customer,
C781,C781,Customer,
C784,C784,Customer,
C785,C785,Customer,
C787,C787,Customer,
C788,C788,Customer,
C793,C793,Customer,
C798,C798,Customer,
C815,C815,Customer,
C825,C825,Customer,
C828,C828,Customer,
C829,C829,Customer,
C834,C834,Customer,
C840,C840,Customer,
C844,C844,Customer,
C857,C857,Customer,
C870,C870,Customer,
C873,C873,Customer,
C877,C877,Customer,
C906,C906,Customer,
C909,C909,Customer,
C911,C911,Customer,
C915,C915,Customer,
C920,C920,Customer,
C930,C930,Customer,
C933,C933,Customer,
C939,C939,Customer,
C944,C944,Customer,
C952,C952,Customer,
C955,C955,Customer,
C962,C962,Customer,
C967,C967,Customer,
C968,C968,Customer,
C979,C979,Customer,
C981,C981,Customer,
C989,C989,Customer,
C997,C997,Customer,
C998,C998,Customer,
C1007,C1007,Customer,
